ue,thr,ew,x,se,rtx,rtse
1,2,120,122.27,0.036999,122.39,0.040155
1,4,120,121.65,0.044918,121.23,0.044093
1,8,120,121.34,0.04693,119.9,0.043609
2,2,120,121.81,0.039791,121.97,0.039931
2,4,120,121.23,0.076472,122.7,0.052857
2,8,120,121.06,0.074055,121.24,0.041496
4,2,120,121.23,0.037934,121.13,0.035697
4,4,120,121.02,0.075215,122.63,0.047051
4,8,120,126.66,0.1291,122.74,0.050638
8,2,120,120.81,0.085905,120.51,0.08425
8,4,120,116.35,0.33045,118.02,0.293617
8,8,120,123.98,0.8963,121.53,0.791596
16,2,120,124.57,0.351909,123.26,0.311619
16,4,120,122.99,0.548882,125.39,0.535252
16,8,120,128.64,0.8067,122.52,0.749444
32,2,120,125.51,0.435585,125.48,0.431511
32,4,120,125.16,0.575112,126.07,0.559828
32,8,120,131.75,0.9468,128.72,0.9369
64,2,120,124.31,0.405,123.68,0.364629
64,4,120,123.68,0.5399,124.33,0.5234
64,8,120,131.35,0.9415,129.28,0.9015
128,2,120,123.6,0.3695,123.05,0.3567
128,4,120,122.48,0.5418,122.36,0.4919
128,8,120,130.98,0.9594,128.52,0.8667
256,2,120,123.74,0.342841,122.45,0.3058
256,4,120,122.55,0.5056,121.86,0.435
256,8,120,133.46,0.9962,128.91,0.8808
